id,position,city,company,salary,experience,education,industry,skills,benefits
176,python后端开发工程师,日本,株式会社GSD,2.5-5万,经验不限,大专,计算机软件,"Java, Oracle, PyQt, Sql, C++, Python",
177,python后端开发工程师,西安,软通动力信息技术(集团)股份有限公司,1-1.8万,1-3年,本科,互联网,"后端开发, 电气电力电子，机械专业, 脚本, 偏硬件方面, Python",
178,赴日Python，Cobol，C/C++技术经验者募集,长沙,株式会社翰海,1.3-2.5万,5-10年,大专,通信/网络设备,"Python, C++, C, Django, Oracle, GO","单位体检, 五险一金, 周末双休, 带薪假期, 加班补贴, 晋升空间大, 交通补贴"
179,python开发工程师（短期驻场）,西安,西安经济技术开发区人力资源开发有限公司,1.4-2万,3-5年,大专,咨询服务,"Sql, Pandas, NumPy",
180,python爬虫工程师,西安,软通动力信息技术(集团)股份有限公司,8000-16000元,1-3年,本科,互联网,"Python, Flask, Django, Tornado, Spark",
181,Python实习生,南阳,河南塔韵文化传媒有限公司,6000-9000元·13薪,经验不限,学历不限,广播/影视,"Java, Sql, C++, Django, Tornado, PostgreSQL, MySQL","五险一金, 带薪假期, 餐饮补贴, 周末双休, 住房补贴, 年终奖金, 法定节假日休, 十三薪"
182,Python开发工程师,济南,山东诺码信信息科技有限公司,5000-10000元·13薪,经验不限,本科,计算机软件,C++,
183,python后端开发工程师,郑州,八六三软件,1-1.2万,3-5年,大专,计算机软件,C++,
184,python软件开发工程师（苏州）,苏州,武汉宝钛克科技有限公司,1.6-3万,3-5年,大专,仪器仪表制造,"多线程, 消息队列, Linux, C++, PyQt, Python","单位体检, 五险一金, 绩效奖金, 十三薪, 团建旅游, 节日福利"
185,Python开发工程师,南昌,南昌中展数智科技有限公司,7000-9000元,1-3年,大专,计算机软件,JavaScript,
186,python开发,西安,软通动力信息技术(集团)股份有限公司,1-1.8万,1-3年,大专,互联网,脚本,
187,赴日Python，Cobol，C/C++技术经验者募集,武汉,株式会社翰海,1.3-2.5万,5-10年,大专,通信/网络设备,"Python, C++, C, Django, Oracle, GO","单位体检, 五险一金, 周末双休, 带薪假期, 加班补贴, 晋升空间大, 交通补贴"
188,python后端开发工程师,西安,博彦科技,1.2-1.3万,经验不限,本科,IT服务,"Shell, linux, DOCKE",
189,Python开发（接受无经验）,武汉,软通动力信息技术(集团)股份有限公司,5000-10000元,1-3年,本科,互联网,,
190,python后端开发工程师,郑州,郑州天之涯软件科技有限公司,6000-9000元·13薪,经验不限,学历不限,计算机软件,"Java, Sql, C++, Django, Tornado, Flask",
191,python后端开发工程师,北京,北京鼎腾科技有限公司,1-1.5万,3-5年,大专,IT服务,"CV视觉相关项目, AI产品, 工厂相关项目, MySQL, PARAMETER SERVER, MPI, 机器学习",
192,python实习生软件开发,廊坊,廊坊市新思维科技有限公司,3000-5000元,无经验,本科,仪器仪表制造,PHTYON,
193,python开发（rpa/低代码）,青岛,深圳市睿服科技有限公司,9000-11000元,3-5年,大专,IT服务,"Oracle, Python, RPA",
194,Python软件开发工程师,兰州,北京德辉睿源咨询有限公司,8000-14000元·13薪,1-3年,本科,电力/水利/热力/燃气,"Django, Flask, Pillow, PostgreSQL, Python",
195,Python软件开发工程师,北京,维森视觉丹阳有限公司,6000-12000元,经验不限,大专,人工智能,Linux,
196,python开发工程师,北京,北京中食菌网络科技有限公司,5000-8000元,经验不限,大专,互联网,,"单位体检, 法定节假日休, 全勤奖金, 绩效奖金, 周末双休, 带薪假期, 社会保险, 十三薪, 五险, 年终奖金, 团建旅游, 带薪年假, 节日福利"
197,python开发,郑州,河南九御博电电气工程有限公司,8000-16000元·13薪,经验不限,大专,电力/水利/热力/燃气,"Python, Django, MySQL",
198,外资银行-python全栈,西安,上海钦诚信息科技有限公司,1.5-2.4万,5-10年,大专,计算机软件,"Flask, Python",
199,Python（DOC自检专员）,西安,万宝盛华企业管理咨询(上海)有限公司大连分公司,6000-10000元,经验不限,本科,互联网,"Python, 英语四级",
200,python爬虫工程师,泉州,石狮灰灰网络科技有限公司,8000-13000元,5-10年,大专,计算机软件,"JavaScript, VUE3",
201,python软件工程师,成都,成都星阵地科技有限公司,1-1.5万,3-5年,大专,互联网,Java,
202,数据工程师（python与pandas方向 统本）,北京,三才智者,9000-12000元,3-5年,本科,计算机软件,Python,
203,"python,Lua工程师",苏州,立臻科技(昆山)有限公司,1.2-2.4万,3-5年,本科,电子设备制造,,
204,Python,成都,成都星阵地科技有限公司,1-1.5万,3-5年,大专,互联网,Java,
205,python工程师,上海,上海邦芒人力资源有限公司,1.6-1.7万,经验不限,大专,专业技术服务,"Django, Flask",
206,python,深圳,陕西慧云联达企业管理咨询有限公司,2-4万·16薪,经验不限,本科,人力资源服务,Python,
207,Python 开发工程师,泸州,四川省进取科技有限公司,6000-9000元,1-3年,大专,仪器仪表制造,,
208,python工程师,哈尔滨,哈尔滨西部信科信息技术有限公司,8000-12000元,经验不限,本科,IT服务,"Python web框架, Python并发框架, 全栈开发, PostgreSQL, MySQL, Oracle","单位体检, 五险一金, 绩效奖金, 带薪假期, 节日福利, 包吃, 全勤奖金, 周末双休"
209,Python开发工程师,大连,大连弗斯特高新人才发展管理有限公司,8000-12000元·13薪,1-3年,本科,咨询服务,"Django, Python, MySQL, GraphQL, 微服务开发","社会保险, 单位体检, 带薪假期, 签订劳动合同, 六险一金, 年终奖金, 拓展培训, 晋升空间大, 住房公积金"
210,Python开发工程师,武汉,北京融智国创科技有限公司,5000-8000元,1年以下,本科,人工智能,"Django, MySQL",
211,python开发工程师,成都,成都图巧科技有限公司,6000-12000元,3-5年,本科,互联网,MySQL,"股票期权, 团建福利, 年终奖金, 单位体检"
212,赴日Python，Cobol，C/C++技术经验者募集,南宁,株式会社翰海,1.3-2.5万,5-10年,大专,通信/网络设备,"Python, C++, C, Django, Oracle, GO","单位体检, 五险一金, 周末双休, 带薪假期, 加班补贴, 晋升空间大, 交通补贴"
213,python爬虫工程师,西安,软通动力信息技术(集团)股份有限公司,9000-14000元,经验不限,本科,互联网,Python,
214,python后端开发工程师,天津,天津市玺丰机械配件有限公司,8000-15000元,1-3年,本科,钢铁/有色金属冶炼及加工,"Python, Django, MySQL, Redis, ERP, MES",
215,python开发工程师,南京,苏州人瑞普惠人力资源服务有限公司,1.5-2.8万,1-3年,本科,互联网,,
216,python开发/测试开发,上海,大连蓝海时代信息技术有限公司,1.5-1.6万,5-10年,大专,企业服务,"Pandas, NumPy",
217,python爬虫工程师,成都,成都图巧科技有限公司,8000-12000元·13薪,3-5年,本科,互联网,"爬虫, 分布式, Flask, MySQL, JavaScript","股票期权, 团建福利, 年终奖金, 单位体检"
218,Python实习生,深圳,深圳市智胜益辉科技有限公司,6000-10000元·13薪,经验不限,本科,计算机软件,"SQL, Linux","五险一金, 周末双休, 带薪假期, 住房补贴, 年终奖金, 法定节假日休, 十三薪, 餐饮补贴"
219,python爬虫工程师,济南,山东博弘信息技术有限公司,5000-7000元,经验不限,本科,网络/信息安全,Python,
220,python后端开发工程师-国企-班车接送-福利完善,哈尔滨,北京外企人力资源服务有限公司,5000-10000元,1-3年,本科,人力资源服务,Python,免费班车
221,python爬虫实习生,南京,南京几何留学咨询有限公司,2000-4000元,经验不限,本科,培训/辅导服务,python爬虫,"单位体检, 五险一金, 带薪假期, 年终奖金, 团建旅游, 周末双休"
222,python开发程师,杭州,杭州慧简医疗科技有限公司,8000-15000元,经验不限,学历不限,计算机软件,"Django, Linux, SQL","五险一金, 绩效奖金, 带薪假期, 加班补贴"
223,python开发工程师,南京,软通动力信息技术(集团)股份有限公司,9000-15000元,3-5年,本科,互联网,"Django, Shell, MySQL, Flask, Oracle",
224,高薪诚聘-中级Python开发-海淀区,北京,中德福林,8000-16000元,3-5年,大专,计算机软件,,
225,Python见习生,天津,它思科技(天津)有限公司,3000-6000元,无经验,大专,电子/半导体/集成电路,Python,
226,Python开发,西安,软通动力信息技术(集团)股份有限公司,9000-16000元,3-5年,大专,互联网,"光伏, 脚本, 后端开发, Python",
227,python（rpa方向）,青岛,深圳市睿服科技有限公司,9000-11000元,3-5年,大专,IT服务,"MySQL, RPA",
228,python研发工程师,北京,思特奇,1.7-2万·14薪,无经验,硕士,运营商/增值服务,,
229,赴日Python，Cobol，C/C++技术经验者募集,苏州,株式会社翰海,1.3-2.5万,5-10年,大专,通信/网络设备,"Python, C++, C, Django, Oracle, GO","单位体检, 五险一金, 周末双休, 带薪假期, 加班补贴, 晋升空间大, 交通补贴"
230,python开发工程师,成都,成都图巧科技有限公司,8000-12000元,1-3年,本科,互联网,"Django, Flask, Scrapy, MySQL, MongoDB, JavaScript","股票期权, 团建福利, 年终奖金, 单位体检"
231,python开发工程师,北京,北京信利恒丰科技发展有限公司,1.4-2万,3-5年,本科,IT服务,"MySQL, Sql",
232,python开发工程师,北京,软通动力信息技术(集团)股份有限公司,1.2-1.6万,3-5年,大专,互联网,"Python, AI, NLP, AGENT",
233,python实习生,南京,南京星赫能源科技有限公司,100-110元/天,无经验,本科,IT服务,"Flask, Scrapy, MySQL","包住, 餐饮补贴"
234,Python开发工程师,北京,蓝快计算机技术(北京)有限公司,1-1.5万,3-5年,大专,IT服务,"Java, MySQL",
235,Python开发工程师,苏州,博彦科技,1-1.5万,经验不限,本科,IT服务,,
236,Planning and Forecasting Python Developer,佛山,汇丰环球,1.5-2.8万,经验不限,本科,银行,精算学,
237,【南京】Python开发工程师,南京,南京仁谷防务科技有限公司,8000-16000元,1-3年,本科,计算机软件,"Redis, MySQL, 后端开发, Django, Flask, FASTAPI","五险一金, 绩效奖金, 节日福利, 团建福利, 涨薪"
238,python工程师（爬虫）,宁波,宁波渠成集团有限公司,1-1.5万,1-3年,本科,贸易/进出口,"数据分析, 数据库, 大数据",
239,初/中级Java（偏python）,上海,上海戎达信息科技有限公司,1-1.5万,1-3年,本科,互联网,"Java, Django, Flask, MySQL",
240,python开发工程师,上海,中软国际,面议,3-5年,本科,计算机软件,"Django, Oracle, Redis, MySQL, Flask",
241,python工程师,西安,三才智者,9000-11000元,1-3年,本科,计算机软件,Python,
242,后端开发（Python/go均可）,武汉,软通动力信息技术(集团)股份有限公司,1.3-1.6万,3-5年,本科,互联网,"Django, Flask",
243,python少儿编程辅导老师（双休/六险一金）,济南,西安长泽辰星教育科技有限公司,6000-10000元,1年以下,本科,在线教育,"Python, 助教, 线上教育","六险一金, 奖金加提成, 带薪假期, 体检免费, 无责底薪, 周末双休, 工作餐免费"
244,Python标注工程师,北京,上海微创软件股份有限公司,1.4-1.7万,经验不限,本科,IT服务,"Django, Tornado, MySQL, Sql",
245,做五休二 python开发 大厂急聘,苏州,软通动力信息技术(集团)股份有限公司,1-1.6万,经验不限,本科,互联网,Python,
246,python高级讲师,合肥,合肥红青职业技术培训学校有限公司,1-1.5万,3-5年,大专,计算机软件,"Django, Tornado, MySQL, Oracle",
247,Python开发工程师,合肥,安徽经典市场调查咨询有限公司,8000-12000元,1-3年,本科,咨询服务,"MySQL, VUE3, Python","团建福利, 单位体检, 节日福利, 五险一金, 绩效奖金, 带薪假期, 餐饮补贴, 周末双休, 年终奖金, 生日福利, 法定节假日休, 拓展培训"
248,python开发工程师,上海,软通动力信息技术(集团)股份有限公司,1-1.8万,经验不限,本科,互联网,"Java, Shell, C++, MySQL",
249,Python,大连,大连北溟软件有限公司,1.1-1.5万,3-5年,学历不限,计算机软件,Python,
250,python开发,北京,深圳市法本信息技术股份有限公司,1.3-1.8万,3-5年,大专,计算机软件,Django,
251,python【大模型】,青岛,深圳市睿服科技有限公司,1.5-1.8万,3-5年,大专,IT服务,"MySQL, Java",
252,python中级开发工程师,郑州,河南伟达电子技术有限公司,6000-12000元,3-5年,本科,IT服务,,
253,python,青岛,诚迈科技,1.1-1.4万,3-5年,大专,运营商/增值服务,"Oracle, Java, Python",
254,python开发工程师（宁德）,宁德,福建凯森信息科技有限公司,7000-10000元,1-3年,大专,IT服务,Python,
255,python工程师（爬虫、自动化）,南京,江苏奇冠药店有限公司,8000-12000元,3-5年,本科,零售/批发,"MySQL, Oracle, SQLServer",
256,Python开发工程师（跨境电商）,杭州,浙江欧锐图科技有限公司,1.2-1.8万,1-3年,本科,耐用消费品,,
257,Python（爬虫方向）,南京,宿迁市冠龙礼品有限公司,7000-14000元,1-3年,大专,互联网,,
258,Python开发工程师,长沙,四川瑞远达企业管理咨询有限公司,1.5-3万,3-5年,大专,人力资源服务,Python,
259,Python【智源】,北京,同方鼎欣科技股份有限公司,1.8-2.5万,3-5年,本科,IT服务,"pytorch, TensorFlow, Kubernetes",
260,Python实习生,深圳,深圳市智胜益辉科技有限公司,6000-11000元,经验不限,本科,计算机软件,"SQL, 中级软件工程师, 软件工程师, 算法基础, 数据结构","五险一金, 周末双休, 带薪假期, 住房补贴, 年终奖金, 法定节假日休, 十三薪, 餐饮补贴"
261,python后端开发工程师,武汉,苏州人瑞普惠人力资源服务有限公司,1.5-3万,1-3年,本科,互联网,,
262,Python（统招学信网）,南京,成都迈思信息技术有限公司,1.1-1.2万,3-5年,大专,计算机软件,JavaScript,
263,Python工程师,厦门,厦门瑞尔特卫浴科技股份有限公司,7000-12000元,经验不限,本科,耐用消费品,"Python, PyQt, MySQL",
